SKU,Barcode,Qty
21367T-4E-BL,69460003267214,9
16347A-CP,650531512871,11
18359A-ZZ-BN,1P18359A-ZZ-BN,8
1444-CP,87206870361,1
D029500/G3003,D029500/G3003,4
22291A-0,22291A-0,1
