SKU,barcode,数量
2WT,9351853010120,10
AHACC16,9351853002194,10
COVER-RB-GR-09,9351853001371,20
COVER-TT-UP-GREY,9351853019642,10
COVER-VC-RB-BLK-08,9351853003498,10
COVER-VC-RB-BLK-09,9351853003504,10
DHS3WB-6,9351853018799,30
DHS5002,9351853019109,10
GLOVES,9351853001098,20
LBRU-MAH,9351853002811,20
SCOREBOARD-W-SP,9351853010083,20
YB-47-PINK,9351853062808,10
